mojoTitle, rtTitle, year, found, rtID
"Mr. Nice Guy",Mr. Nice Guy (Yat goh hiu yan),1998,True,11977
"Why Do Fools Fall in Love?",Why Do Fools Fall In Love,1998,True,14374
"Barney's Great Adventure",Barney's Great Adventure: The Movie,1998,True,770696614
"I'll Be Home for Christmas",I'll Be Home for Christmas,1998,True,12221
"Holy Man",Holy Man,1998,True,12319
"Sliding Doors",Sliding Doors,1998,True,12988
"Deep Rising",Deep Rising,1998,True,13842
"Fear and Loathing in Las Vegas",Fear and Loathing in Las Vegas,1998,True,13278
"Home Fries",Home Fries,1998,True,12033
"The Newton Boys",The Newton Boys,1998,True,11372
"Knock Off",Knock Off,1998,True,15366
"I Got the Hook-Up!",I Got The Hook-Up,1998,True,14410
"Air Bud: Golden Receiver",Air Bud 2 - Golden Receiver,1998,True,9592
"Dirty Work",Dirty Work,1998,True,10979
"Very Bad Things",Very Bad Things,1998,True,16423
"Belly",Belly,1998,True,15945
"Wrongfully Accused",Wrongfully Accused,1998,True,10720
"The Spanish Prisoner",,1998,False,
"The Red Violin",The Red Violin (Le violon rouge),1998,True,14949
"Ringmaster",Ringmaster,1998,True,16837
"Apt Pupil",Apt Pupil,1998,True,13982
"Return to Paradise",Return to Paradise,1998,True,16586
"Firestorm",Firestorm,1998,True,16232
"My Giant",My Giant,1998,True,12218
"Woo",Woo,1998,True,14897
"Krippendorf's Tribe",Krippendorf's Tribe,1998,True,12124
"Star Kid",Star Kid,1998,True,12437
"BASEketball",BASEketball,1998,True,13128
"Caught Up",Caught Up,1998,True,15473
"Gone with the Wind (Re-issue) (1998)",El viento se llevo lo que (Wind with the Gone),1998,True,771229530
"Smoke Signals",Smoke Signals,1998,True,10168
"American History X",American History X,1998,True,12900
"Gods and Monsters",Gods and Monsters,1998,True,14535
"Affliction",,1998,False,
"Almost Heroes",Almost Heroes,1998,True,10251
"Les Boys 2",Les Boys 2,1998,True,17997
"The Opposite of Sex",The Opposite of Sex,1998,True,14130
"Palmetto",Palmetto,1998,True,14812
"Down in the Delta",Down in the Delta,1998,True,11711
"Phantoms",Phantoms,1998,True,15200
"Central Station",Central Station (Central do Brasil),1998,True,14037
"Slums of Beverly Hills",Slums of Beverly Hills,1998,True,14381
"Ride",Ride,1998,True,14608
"Celebrity",Celebrity,1998,True,14798
"Hilary and Jackie",Hilary and Jackie,1998,True,16755
"Your Friends and Neighbors",Your Friends & Neighbors,1998,True,15892
"Little Voice",Little Voice,1998,True,14160
"Dangerous Beauty",Dangerous Beauty,1998,True,12932
"Meet the Deedles",Meet the Deedles,1998,True,221143970
"Kissing a Fool",Kissing A Fool,1998,True,14309
"The Governess",The Governess,1998,True,15444
"Major League: Back to the Minors",Major League 3: Back to the Minors,1998,True,11173
"Next Stop  Wonderland",Next Stop Wonderland,1998,True,13919
"Mrs. Dalloway",,1998,False,
"Pi",Pi,1998,True,13056
"The Last Days of Disco",The Last Days of Disco,1998,True,14733
"Happiness",Happiness,1998,True,17110
"Freeriders",Warren Miller's Freeriders,1998,True,770928394
"The Mighty",The Mighty,1998,True,10517
"Love and Death on Long Island",,1998,False,
"Buffalo '66",Buffalo 66,1998,True,15304
"Mark Twain's America in 3-D (IMAX)",Mark Twain's America in 3D,1998,True,9989
"Dancing at Lughnasa",Dancing at Lughnasa,1998,True,12053
"Hav Plenty",,1998,False,
"Pecker",Pecker,1998,True,13856
"Touch of Evil (re-issue)",,1998,False,
"The Impostors",The Impostors,1998,True,14296
"Chinese Box",,1998,False,
"Tarzan and the Lost City",Tarzan and the Lost City,1998,True,12058
"Wilde",Wilde,1998,True,14071
"Zero Effect",Zero Effect,1998,True,14635
"Billy's Hollywood Screen Kiss",Billy's Hollywood Screen Kiss,1998,True,14412
"Two Girls and a Guy",Two Girls and a Guy,1998,True,14815
"The Butcher Boy",,1998,False,
"High Art",High Art,1998,True,13181
"Oscar and Lucinda",,1998,False,
"Hurlyburly",Hurlyburly,1998,True,14504
"Clay Pigeons",Clay Pigeons,1998,True,15551
"A Soldier's Daughter Never Cries",A Soldier's Daughter Never Cries,1998,True,16383
"Suicide Kings",,1998,False,
"Live Flesh",,1998,False,
"The Gingerbread Man",The Gingerbread Man,1998,True,16637
"The Celebration",The Celebration (Festen),1998,True,16939
"In God's Hands",In God's Hands,1998,True,11329
"Henry Fool",Henry Fool,1998,True,14783
"Cousin Bette",Cousin Bette,1998,True,13746
"One Tough Cop",One Tough Cop,1998,True,16645
"The General (1998)",The General,1998,True,15648
"Nightwatch",Nightwatch,1998,True,14467
"Permanent Midnight",Permanent Midnight,1998,True,14096
"A Price Above Rubies",A Price Above Rubies,1998,True,14324
"The Thief",,1998,False,
"Deja Vu (1998)",,1998,False,
"Lolita (1998)",,1998,False,
"Velvet Goldmine",Velvet Goldmine,1998,True,13066
"Another Day in Paradise",Another Day In Paradise,1998,True,17297
"Slam",Slam,1998,True,13457
"Men with Guns",Men With Guns,1998,True,14848
"Strike!",Strike! (All I Wanna Do),1998,True,11144
"Firelight",Romantic Classics by Firelight: Moodtapes,1998,True,770941486
"Without Limits",Without Limits,1998,True,10248
"Nights of Cabiria (re-issue)",,1998,False,
"The Big One",,1998,False,
"Strangeland",StrangeLand,1998,True,13311
"Polish Wedding",Polish Wedding,1998,True,12159
"Dancer  Texas Pop. 81",Dancer  Texas Pop. 81,1998,True,11707
"Kurt and Courtney",Kurt & Courtney,1998,True,13804
"Character",,1998,False,
"Orgazmo",,1998,False,
"Deceiver",Deceiver (Liar),1998,True,15845
"Hands on a Hard Body",Hands on a Hard Body,1998,True,12628
"Clockwatchers",,1998,False,
"Wild Man Blues",,1998,False,
"Cube",,1998,False,
"Fireworks",,1998,False,
"The Eel",,1998,False,
"1998 Bugs Bunny Film Festival",,1998,False,
"Four Days in September",,1998,False,
"Swept from the Sea",Swept From The Sea,1998,True,11368
"Steam: Turkish Bath",,1998,False,
"3 Ninjas: High Noon at Mega Mountain",,1998,False,
"Hurricane Streets",,1998,False,
"Shooting Fish",,1998,False,
"Artemisia",,1998,False,
"Love Is the Devil",Love is the Devil: Study for a Portrait of Francis Bacon,1998,True,17193
"I Think I Do",,1998,False,
"The Bicycle Thief (1998 re-issue)",,1998,False,
"Monument Ave.",Monument Ave. (Snitch),1998,True,15360
"Life Is Beautiful (dubbed)",,1998,False,
"Whatever",Whatever,1998,True,770686646
"Mr. Jealousy",,1998,False,
"Marius and Jeannette",,1998,False,
"Wide Awake",Wide Awake,1998,True,11600
"Taxi (1998)",Taxi,1998,True,17658
"Nil by Mouth",,1998,False,
